restaurant_names,restaurant_locations,costs_for_2,cusisines,ratings,restaurant_imgs,restaurant_pages
Thyme,"The Umrao, New Delhi",₹ 1800,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111611%2Frestaurant020180515082943.jpg,https://www.eazydiner.com/delhi-ncr/thyme-the-umrao-rajokri-111611?deal_types[]=postpaid
Mix Lounge and Bar,"The Westin, Gurgaon",₹ 2000,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112783%2Frestaurant020180320091849.jpg,https://www.eazydiner.com/delhi-ncr/mix-lounge-and-bar-the-westin-sector-29-112783?deal_types[]=postpaid
Elation,"Greater Kailash (GK) 1, South Delhi",₹ 1200,Finger Food,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643822%2Frestaurant020201215080335.jpg,https://www.eazydiner.com/delhi-ncr/elation-greater-kailash-gk-1-south-delhi-643822?deal_types[]=postpaid
Jalsa Air Bar,"Sector 49, Gurgaon",₹ 1200,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682643%2Frestaurant020220203120038.jpg,https://www.eazydiner.com/delhi-ncr/jalsa-air-bar-sector-49-gurgaon-682643?deal_types[]=postpaid
Unifrost Cafe,"Sultan Pur, South Delhi",₹ 500,Continental,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683535%2Frestaurant020220513071750.jpeg,https://www.eazydiner.com/delhi-ncr/unifrost-cafe-sultan-pur-south-delhi-683535?deal_types[]=postpaid
Cafe Central,"Radisson Gurugram,Sohna Road City Center, Gurgaon",₹ 2200,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111820%2Fz0-01.jpg,https://www.eazydiner.com/delhi-ncr/cafe-central-radisson-gurugramsohna-road-city-center-gurgaon-111820?deal_types[]=postpaid
Seoul Restaurant,"Ansal Plaza Mall, Khel Gaon Marg",₹ 1300,"Japanese,Korean,Sushi",4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112001%2Frestaurant020201216052631.jpeg,https://www.eazydiner.com/delhi-ncr/restaurant-de-seoul-khel-gaon-marg-112001?deal_types[]=postpaid
Spice It,"Hotel IBIS, Gurgaon",₹ 1500,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111517%2Frestaurant020170511130847.jpg,https://www.eazydiner.com/delhi-ncr/spice-it-hotel-ibis-golf-course-road-111517?deal_types[]=postpaid
My Secret Place,"Palam Vihar, Gurgaon",₹ 1000,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683100%2Frestaurant020220329071556.jpeg,https://www.eazydiner.com/delhi-ncr/my-secret-place-palam-vihar-gurgaon-683100?deal_types[]=postpaid
Café Bean and Basil,"Sector 32, Noida",₹ 900,Continental,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683581%2Frestaurant020220519091741.jpg,https://www.eazydiner.com/delhi-ncr/cafe-bean-and-basil-sector-32-noida-683581?deal_types[]=postpaid
TFR Retro House,"Sector 47, Gurgaon",₹ 2000,Multicuisine,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682673%2Frestaurant020220208120358.jpg,https://www.eazydiner.com/delhi-ncr/tfr-retro-house-sector-47-gurgaon-682673?deal_types[]=postpaid
Gazzab,"Mahavir Enclave, West Delhi",₹ 750,Multicuisine,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682404%2Frestaurant020211222101220.jpeg,https://www.eazydiner.com/delhi-ncr/gazzab-mahavir-enclave-west-delhi-682404?deal_types[]=postpaid
Cascades,"The Grand, New Delhi",₹ 2000,"Finger Food,Multicuisine",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112573%2Frestaurant620210413053203.jpg,https://www.eazydiner.com/delhi-ncr/crystal-lounge-the-grand-vasant-kunj-112573?deal_types[]=postpaid
Glass House,"Doubletree by Hilton, Gurugram Baani Square",₹ 3000,Multicuisine,3.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111170%2Frestaurant020220120105248.jpg,https://www.eazydiner.com/delhi-ncr/glass-house-hilton-garden-inn-sector-50-111170?deal_types[]=postpaid
Meraki Cafe & Bar,"Defence Colony, South Delhi",₹ 1400,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121437%2Frestaurant120220305074634.jpg,https://www.eazydiner.com/delhi-ncr/cafe-meraki-defence-colony-121437?deal_types[]=postpaid
Bourbon Street,"The Acura BMK Hotel, Gurgaon",₹ 1200,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F663468%2Frestaurant020190610125420.jpg,https://www.eazydiner.com/delhi-ncr/bourbon-street-sector-15-gurgaon-663468?deal_types[]=postpaid
Cafe Soho,"The Acura BMK Hotel, Gurgaon",₹ 1200,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F663471%2Frestaurant220190610132642.jpg,https://www.eazydiner.com/delhi-ncr/cafe-soho-sector-15-gurgaon-663471?deal_types[]=postpaid
Cafe Amaretto,"DLF South Point Mall, Golf Course Road",₹ 1600,Italian,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F640278%2Frestaurant020161203080016.jpg,https://www.eazydiner.com/delhi-ncr/cafe-amaretto-south-city-2-gurgaon-640278?deal_types[]=postpaid
Baby Dragon Bar & Restaurant,"Sector 18, Noida",₹ 1400,"Chinese,Indian,Mughlai,Multicuisine,Continental",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110480%2Frestaurant120220326080825.jpg,https://www.eazydiner.com/delhi-ncr/baby-dragon-bar-restaurant-sector-18-noida-110480?deal_types[]=postpaid
Spring,"Radisson Blu Hotel, Dwarka",₹ 1600,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110815%2Frestaurant020211028114108.jpg,https://www.eazydiner.com/delhi-ncr/spring-radisson-blu-hotel-dwarka-110815?deal_types[]=postpaid
Kaffiiaa,"Sector 18, Noida",₹ 1000,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110386%2Frestaurant320210413061003.jpeg,https://www.eazydiner.com/delhi-ncr/kaffiiaa-sector-18-noida-110386?deal_types[]=postpaid
The Brewhouse,"Radisson Gurugram,Sohna Road City Center, Gurgaon",₹ 1500,Finger Food,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F619839%2Frestaurant620190131124407.jpg,https://www.eazydiner.com/delhi-ncr/the-brewhouse-fortune-select-excalibur-gurgaon-619839?deal_types[]=postpaid
Oh Delhi - Kitchen Bar Grill,"Vasant Kunj, South Delhi",₹ 1200,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674080%2Frestaurant020210914055852.jpg,https://www.eazydiner.com/delhi-ncr/oh-delhi-kitchen-bar-grill-vasant-square-mall-vasant-kunj-674080?deal_types[]=postpaid
Forest House Cafe,"Sector 17, Dwarka, West Delhi",₹ 1000,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682367%2Frestaurant020211216110344.jpeg,https://www.eazydiner.com/delhi-ncr/forest-house-cafe-sector-17-dwarka-west-delhi-682367?deal_types[]=postpaid
My Tea Chapel,"Galleria Market, Gurgaon",₹ 1200,"Cafe,Pizza",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682228%2Frestaurant020211130082403.jpeg,https://www.eazydiner.com/delhi-ncr/my-tea-chapel-galleria-market-gurgaon-682228?deal_types[]=postpaid
The Nerdy Indian,"Saidulajab, South Delhi",₹ 700,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F668586%2Frestaurant020210315085310.jpg,https://www.eazydiner.com/delhi-ncr/the-nerdy-indian-saidulajab-south-delhi-668586?deal_types[]=postpaid
Dasaprakash,"Sector 135, Noida",₹ 1000,"North Indian,South Indian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F671296%2Frestaurant320200723051343.jpg,https://www.eazydiner.com/delhi-ncr/dasaprakash-sector-135-noida-noida-671296?deal_types[]=postpaid
Patiaala House (THAILAND),"Vikaspuri, West Delhi",₹ 800,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682311%2Frestaurant020211210091143.jpg,https://www.eazydiner.com/delhi-ncr/patiaala-house-thailand-vikaspuri-west-delhi-682311?deal_types[]=postpaid
Gozo Restaurant,"Sector 127, Noida",₹ 800,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674077%2Frestaurant220210913100035.jpeg,https://www.eazydiner.com/delhi-ncr/gozo-restaurant-sector-127-noida-674077?deal_types[]=postpaid
Ka Eclairs & Kafe,"Sector 18, Noida",₹ 900,"Cafe,Multicuisine",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F644526%2Frestaurant020210413054700.jpeg,https://www.eazydiner.com/delhi-ncr/ka-eclairs-kafe-sector-18-noida-644526?deal_types[]=postpaid
Xhale Cafe & Lounge,"Rohini, West Delhi",₹ 600,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683669%2Frestaurant020220527103612.jpeg,https://www.eazydiner.com/delhi-ncr/xhale-cafe-lounge-rohini-west-delhi-683669?deal_types[]=postpaid
Two Pots Kitchen,"Janakpuri, West Delhi",₹ 500,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682809%2Frestaurant020220226093000.jpeg,https://www.eazydiner.com/delhi-ncr/two-pots-kitchen-janakpuri-west-delhi-682809?deal_types[]=postpaid
Mellow Garden,"Mansarover Garden, West Delhi",₹ 1200,"Chinese,North Indian",3.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653484%2Frestaurant120181122073723.jpg,https://www.eazydiner.com/delhi-ncr/the-mellow-garden-rajouri-garden-west-delhi-653484?deal_types[]=postpaid
Fly,"Rajouri Garden, West Delhi",₹ 1000,Multicuisine,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F669589%2Frestaurant420191108073814.jpeg,https://www.eazydiner.com/delhi-ncr/fly-rajouri-garden-west-delhi-669589?deal_types[]=postpaid
Melange,"The Pllazio Hotel, Gurgaon",₹ 1700,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111291%2F1980_01-01.jpg,https://www.eazydiner.com/delhi-ncr/melange-the-pllazio-hotel-sector-29-111291?deal_types[]=postpaid
The Beer House Cafe,"Shipra Mall, Indirapuram",₹ 1200,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683339%2Frestaurant020220426091743.jpg,https://www.eazydiner.com/delhi-ncr/the-beer-house-cafe-shipra-mall-indirapuram-683339?deal_types[]=postpaid
Cold Stone Creamery,"Eros City Square Mall, Gurgaon",₹ 400,Ice Cream,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/group%2F5969%2Fmenu120191224104722.jpg,https://www.eazydiner.com/delhi-ncr/cold-stone-creamery-eros-city-square-mall-gurgaon-669995?deal_types[]=postpaid
Paso,"Sector 38, Noida",₹ 1100,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683582%2Frestaurant020220519095118.jpeg,https://www.eazydiner.com/delhi-ncr/paso-sector-38-noida-683582?deal_types[]=postpaid
KLAP,"Khan Market, Central Delhi",₹ 1200,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673609%2Frestaurant120210709072253.jpg,https://www.eazydiner.com/delhi-ncr/klap-khan-market-central-delhi-673609?deal_types[]=postpaid
Bread & More,"Vasant Vihar, South Delhi",₹ 550,Bakery,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/group%2F6275%2Fmenu020220107071451.jpg,https://www.eazydiner.com/delhi-ncr/breat-et-more-vasant-vihar-121135?deal_types[]=postpaid
Refections Cafe,"Malviya Nagar, South Delhi",₹ 400,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683556%2Frestaurant020220517064011.jpg,https://www.eazydiner.com/delhi-ncr/refections-cafe-malviya-nagar-south-delhi-683556?deal_types[]=postpaid
Symposium,"Sector 12, Dwarka, West Delhi",₹ 1000,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673667%2Frestaurant220210722075941.jpg,https://www.eazydiner.com/delhi-ncr/symposium-sector-12-dwarka-west-delhi-673667?deal_types[]=postpaid
Pose,"Doubletree by Hilton, Gurugram Baani Square",₹ 1100,"Finger Food,Cocktail Menu",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111903%2Frestaurant020220120104432.jpg,https://www.eazydiner.com/delhi-ncr/pose-hilton-garden-inn-sector-50-111903?deal_types[]=postpaid
The Bowton House Cafe,"Satyaniketan, South Delhi",₹ 700,Multicuisine,N/A,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683759%2Frestaurant020220608111713.jpeg,https://www.eazydiner.com/delhi-ncr/the-bowton-house-cafe-satyaniketan-south-delhi-683759?deal_types[]=postpaid
Bamboo Chopal,"Sector Alpha 2, Noida",₹ 800,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683340%2Frestaurant020220426094148.jpeg,https://www.eazydiner.com/delhi-ncr/bamboo-chopal-sector-alpha-2-noida-683340?deal_types[]=postpaid
Drool Fresh Bake House Cafe,"Sector 13, Dwarka, West Delhi",₹ 1000,Cafe,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111015%2Frestaurant020220224101848.jpeg,https://www.eazydiner.com/delhi-ncr/drool-fresh-bake-house-cafe-111015?deal_types[]=postpaid
The Litti Chokha,"Omaxe World Street, Sector 79, Faridabad",₹ 600,Bihari,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673986%2Frestaurant020210826065957.jpeg,https://www.eazydiner.com/delhi-ncr/the-litti-chokha-omaxe-world-street-sector-79-faridabad-673986?deal_types[]=postpaid
Cafe O'Lait,"Doubletree by Hilton, Gurugram Baani Square",₹ 1100,Cafe,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F113697%2Frestaurant020220120110235.jpg,https://www.eazydiner.com/delhi-ncr/cafe-olait-hilton-garden-inn-south-city-2-113697?deal_types[]=postpaid
Café Resto,"Jaypee Siddharth, New Delhi",₹ 2500,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F681962%2Frestaurant020211101081820.jpg,https://www.eazydiner.com/delhi-ncr/cafe-resto-jaypee-siddharth-new-delhi-681962?deal_types[]=postpaid
The Curry House,"Sector 14, Gurgaon",₹ 800,North Indian,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683358%2Frestaurant020220428080006.jpg,https://www.eazydiner.com/delhi-ncr/the-curry-house-sector-14-gurgaon-683358?deal_types[]=postpaid
Red Chilli,"Paschim Vihar, West Delhi",₹ 900,North Indian,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111144%2Frestaurant020220217084501.jpeg,https://www.eazydiner.com/delhi-ncr/red-chilli-paschim-vihar-111144?deal_types[]=postpaid
Seventh Sense,"Rohini, West Delhi",₹ 3500,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683647%2Frestaurant020220526085459.jpg,https://www.eazydiner.com/delhi-ncr/seventh-sense-rohini-west-delhi-683647?deal_types[]=postpaid
Caffe Bella Italia,"Gwal Pahari, Gurgaon",₹ 600,Italian,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673250%2Frestaurant420210331073033.jpeg,https://www.eazydiner.com/delhi-ncr/caffe-bella-italia-gwal-pahari-gurgaon-673250?deal_types[]=postpaid
Biryani Badshah,"Connaught Place (CP), Central Delhi",₹ 800,Biryani,4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F662432%2Frestaurant120190423094803.jpg,https://www.eazydiner.com/delhi-ncr/biryani-badshah-connaught-place-cp-central-delhi-662432?deal_types[]=postpaid
Cafe Desire,"Netaji Subhash Place, North Delhi",₹ 800,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643987%2Frestaurant420210211090909.jpeg,https://www.eazydiner.com/delhi-ncr/cafe-desire-netaji-subhash-place-north-delhi-643987?deal_types[]=postpaid
The Atrium,"Savoy Suites, Greater Noida",₹ 1000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673124%2Frestaurant320210308074552.jpg,https://www.eazydiner.com/delhi-ncr/the-atrium-savoy-suites-greater-noida-673124?deal_types[]=postpaid
Punjabi By Nature,"Ambience Mall, Vasant Kunj",₹ 1600,North Indian,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110471%2Frestaurant020210906090726.jpg,https://www.eazydiner.com/delhi-ncr/punjabi-by-nature-vasant-kunj-110471?deal_types[]=postpaid
Kitchen District,"Janakpuri, West Delhi",₹ 1200,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683314%2Frestaurant020220422143058.jpeg,https://www.eazydiner.com/delhi-ncr/kitchen-district-janakpuri-west-delhi-683314?deal_types[]=postpaid
Bioscope,"Sector 63, Noida",₹ 1200,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673955%2Frestaurant1420210818082224.jpeg,https://www.eazydiner.com/delhi-ncr/bioscope-sector-63-noida-673955?deal_types[]=postpaid
Sagar Ratna,"Sector 142, Noida",₹ 600,South Indian,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674439%2Frestaurant020211013054608.jpeg,https://www.eazydiner.com/delhi-ncr/sagar-ratna-sector-142-noida-674439?deal_types[]=postpaid
The Chocolate Room,"Sector 66, Gurgaon",₹ 500,Cafe,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683615%2Frestaurant020220524062120.jpeg,https://www.eazydiner.com/delhi-ncr/the-chocolate-room-sector-66-gurgaon-683615?deal_types[]=postpaid
Pinxx,"Sector 49, Gurgaon",₹ 1200,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682785%2Frestaurant020220228060117.jpg,https://www.eazydiner.com/delhi-ncr/pinxx-sector-49-gurgaon-682785?deal_types[]=postpaid
Vegetariano,"Janakpuri, West Delhi",₹ 700,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F663259%2Frestaurant420211019102100.jpeg,https://www.eazydiner.com/delhi-ncr/vegetariano-janakpuri-west-delhi-663259?deal_types[]=postpaid
Cafe By Soul,"DLF Phase 1, Gurgaon",₹ 800,"European,Italian",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672222%2Frestaurant020201217095341.jpeg,https://www.eazydiner.com/delhi-ncr/cafe-by-soul-dlf-phase-1-gurgaon-672222?deal_types[]=postpaid
Runway1,"Metro Walk Mall, Rohini",₹ 1000,"Beverages,Chinese,Fast Food,Mughlai,North Indian",3.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F658421%2Frestaurant020190718084143.jpg,https://www.eazydiner.com/delhi-ncr/runway1-metro-walk-mall-rohini-658421?deal_types[]=postpaid
Brewin Cafe,"Mayur Vihar Phase 2, East Delhi",₹ 400,"Italian,Mediterranean",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682758%2Frestaurant020220222083204.jpeg,https://www.eazydiner.com/delhi-ncr/brewin-cafe-mayur-vihar-phase-1-east-delhi-682758?deal_types[]=postpaid
Food Bus Of India,"Rajendra Place, Central Delhi",₹ 400,"Chinese,North Indian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683636%2Frestaurant020220525094507.jpg,https://www.eazydiner.com/delhi-ncr/food-bus-of-india-rajendra-place-central-delhi-683636?deal_types[]=postpaid
Gati Cafe,"Sector 21, Faridabad",₹ 500,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683202%2Frestaurant020220407090300.jpg,https://www.eazydiner.com/delhi-ncr/gati-cafe-sector-21-faridabad-683202?deal_types[]=postpaid
Cafe 9,Sarovar Portico Naraina,₹ 1500,,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682543%2Frestaurant020220119064347.jpg,https://www.eazydiner.com/delhi-ncr/cafe-9-sarovar-portico-naraina-682543?deal_types[]=postpaid
Panoramic,"Suraj Kund, Faridabad",₹ 2100,"Chinese,Indian",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F113296%2Frestaurant020220127082155.jpg,https://www.eazydiner.com/delhi-ncr/panoramic-the-atrium-suraj-kund-faridabad-113296?deal_types[]=postpaid
Hurry Mirrch,"Sector 10, Dwarka, West Delhi",₹ 300,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F681941%2Frestaurant520211027084343.jpg,https://www.eazydiner.com/delhi-ncr/hurry-mirrch-sector-10-dwarka-west-delhi-681941?deal_types[]=postpaid
Bella Rossa,"Sector 9, Dwarka, West Delhi",₹ 1000,"Italian,North Indian,Asian,Continental",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682810%2Frestaurant020220226092931.jpeg,https://www.eazydiner.com/delhi-ncr/bella-rossa-sector-9-dwarka-west-delhi-682810?deal_types[]=postpaid
The Chocolate Room,"Vasant Vihar, South Delhi",₹ 1000,"Italian,Mexican,Continental",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674102%2Frestaurant220210918045202.jpg,https://www.eazydiner.com/delhi-ncr/the-chocolate-room-vasant-vihar-south-delhi-674102?deal_types[]=postpaid
Truth Restro & Bar,"Greater Kailash (GK) 2, South Delhi",₹ 1200,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670214%2Frestaurant420200110130311.jpg,https://www.eazydiner.com/delhi-ncr/truth-restro-bar-greater-kailash-gk-2-south-delhi-670214?deal_types[]=postpaid
Cafe Taxi,"GTB Nagar, North Delhi",₹ 1200,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674259%2Frestaurant020210928075150.jpg,https://www.eazydiner.com/delhi-ncr/cafe-taxi-gtb-nagar-north-delhi-674259?deal_types[]=postpaid
Liquid Bar & Lounge,"Janakpuri, West Delhi",₹ 1000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683470%2Frestaurant020220505115648.jpeg,https://www.eazydiner.com/delhi-ncr/liquid-bar-lounge-janakpuri-west-delhi-683470?deal_types[]=postpaid
The Wellness Lounge,"Global Foyer Mall, Gurgaon",₹ 1000,Healthy Food,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682906%2Frestaurant020220310095234.jpeg,https://www.eazydiner.com/delhi-ncr/the-wellness-lounge-global-foyer-mall-gurgaon-682906?deal_types[]=postpaid
Boozer's Club,"Pitampura, North Delhi",₹ 1000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683660%2Frestaurant020220527075708.jpeg,https://www.eazydiner.com/delhi-ncr/boozers-club-pitampura-north-delhi-683660?deal_types[]=postpaid
Neptune Bar & Lounge,"Fortune Park Orange, Sidhrawali, Gurgaon",₹ 2000,"Finger Food,Multicuisine",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673957%2Frestaurant720220427095653.jpg,https://www.eazydiner.com/delhi-ncr/neptune-bar-lounge-fortune-park-orange-sidhrawali-gurgaon-673957?deal_types[]=postpaid
Flavours,"Golden Tulip, Sector 29",₹ 1800,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682739%2Frestaurant020220218090548.jpg,https://www.eazydiner.com/delhi-ncr/flavours-gwal-pahari-gurgaon-682739?deal_types[]=postpaid
Leeway Bar & Restaurant,"Paschim Vihar, West Delhi",₹ 1000,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683541%2Frestaurant020220513111101.jpeg,https://www.eazydiner.com/delhi-ncr/leeway-bar-restaurant-paschim-vihar-west-delhi-683541?deal_types[]=postpaid
Lattitude,"Skycity Hotel, Gurgaon",₹ 2500,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112869%2F0.jpg,https://www.eazydiner.com/delhi-ncr/lattitude-skycity-hotel-sector-15-112869?deal_types[]=postpaid
Flavours,"The Gaurs Sarovar Portico, Noida",₹ 1200,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682544%2Frestaurant020220119071109.jpeg,https://www.eazydiner.com/delhi-ncr/flavours-the-gaurs-sarovar-portico-noida-682544?deal_types[]=postpaid
Cafe Manhattan,"Sector 6, Dwarka, West Delhi",₹ 1200,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682319%2Frestaurant020211214080428.jpeg,https://www.eazydiner.com/delhi-ncr/cafe-manhattan-sector-6-dwarka-west-delhi-682319?deal_types[]=postpaid
Delhi Pavilion,"Sheraton, New Delhi, South Delhi",₹ 3000,"Indian,Multicuisine",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110859%2F8166_1-01.jpg,https://www.eazydiner.com/delhi-ncr/delhi-pavilion-sheraton-south-delhi-saket-110859?deal_types[]=postpaid
Tripti Restaurant & Bar,"Mahipalpur, South Delhi",₹ 1200,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683130%2Frestaurant020220407113329.jpg,https://www.eazydiner.com/delhi-ncr/tripti-restaurant-bar-mahipalpur-south-delhi-683130?deal_types[]=postpaid
MEALIT,"Sector 16, Faridabad",₹ 600,Multicuisine,4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683313%2Frestaurant020220422140846.jpeg,https://www.eazydiner.com/delhi-ncr/mealit-sector-16-faridabad-683313?deal_types[]=postpaid
Cafe De'Lan,"Sector 104, Noida",₹ 1800,Multicuisine,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683176%2Frestaurant020220404095850.jpg,https://www.eazydiner.com/delhi-ncr/cafe-delan-sector-104-noida-683176?deal_types[]=postpaid
