restaurant_names,restaurant_locations,costs_for_2,cusisines,ratings,restaurant_imgs,restaurant_pages
Farmers Basket At Pluck,Pullman New Delhi Aerocity-An AccorHotels Brand,₹ 3000,"Chinese,European,Finger Food,North Indian,Modern Indian",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F600089%2Frestaurant120190329071930.jpg,https://www.eazydiner.com/delhi-ncr/pluck-pullman-new-delhi-aerocity-an-accorhotels-brand-igi-airport-600089?deal_types[]=postpaid
Tamra,Shangri-La Eros New Delhi,₹ 3000,"American,Beverages,Desserts,European,Finger Food,North Indian,All Day Dining,Asian,Continental",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121269%2F8881_02-01.jpg,https://www.eazydiner.com/delhi-ncr/tamra-shangri-la-s-eros-hotel-connaught-place-cp-121269?deal_types[]=postpaid
Dasaprakash,"Ashok Vihar Phase 2, North Delhi",₹ 800,South Indian,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682174%2Frestaurant020211123081541.jpeg,https://www.eazydiner.com/delhi-ncr/dasaprakash-ashok-vihar-phase-2-north-delhi-682174?deal_types[]=postpaid
The Qube,"The Leela Palace, New Delhi",₹ 3200,"Finger Food,Italian,North Indian,Pizza,Seafood,All Day Dining,Asian,Continental",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110450%2F123-01.jpg,https://www.eazydiner.com/delhi-ncr/the-qube-the-leela-palace-chanakyapuri-110450?deal_types[]=postpaid
Pavilion 75,"WelcomHotel Dwarka, New Delhi",₹ 2500,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111389%2Frestaurant120210915082939.jpg,https://www.eazydiner.com/delhi-ncr/pavilion-75-welcomhotel-dwarka-111389?deal_types[]=postpaid
Elan,"The Lodhi, New Delhi",₹ 3000,"Finger Food,Italian,North Indian,All Day Dining,Continental,Salad",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110745%2Frestaurant020191107111329.jpg,https://www.eazydiner.com/delhi-ncr/elan-the-lodhi-lodhi-road-110745?deal_types[]=postpaid
Sultan,"Radisson Blu Kaushambi Delhi NCR, Ghaziabad",₹ 1800,"Multicuisine,All Day Dining",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F644128%2Frestaurant020220131101345.jpg,https://www.eazydiner.com/delhi-ncr/sultan-radisson-blu-kaushambi-delhi-ncr-kaushambi-644128?deal_types[]=postpaid
Pickwicks,"The Claridges, New Delhi",₹ 3000,Casual Eclectic,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112130%2Frestaurant020211026113940.jpeg,https://www.eazydiner.com/delhi-ncr/pickwicks-the-claridges-aurangzeb-road-112130?deal_types[]=postpaid
Broadway,"Radisson Blu, Faridabad",₹ 3000,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F644019%2Frestaurant320191031111459.jpg,https://www.eazydiner.com/delhi-ncr/broadway-radisson-blu-mathura-road-644019?deal_types[]=postpaid
Café Resto,"Jaypee Vasant Continental, New Delhi",₹ 2000,Multicuisine,4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F681964%2Frestaurant020211101095337.jpg,https://www.eazydiner.com/delhi-ncr/cafe-resto-jaypee-vasant-continental-new-delhi-681964?deal_types[]=postpaid
Thai High,"Mehrauli, South Delhi",₹ 1800,"Chinese,Finger Food,Seafood,Thai,Pan Asian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110246%2Frestaurant120190911124622.jpg,https://www.eazydiner.com/delhi-ncr/thai-high-mehrauli-110246?deal_types[]=postpaid
Kinbuck 2 Cafe & Bar,"Connaught Place (CP), Central Delhi",₹ 1200,"Chinese,Italian,Lebanese,Mexican,North Indian",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121200%2Frestaurant020191116061504.jpg,https://www.eazydiner.com/delhi-ncr/kinbuck-2-connaught-place-121200?deal_types[]=postpaid
Kiyan,"The Roseate, New Delhi",₹ 2800,"European,Finger Food,North Indian,Pizza,Thai,All Day Dining,Salad",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110490%2Frestaurant420160606121756.jpg,https://www.eazydiner.com/delhi-ncr/kiyan-the-roseate-rajokri-110490?deal_types[]=postpaid
7 Old Town,"Hauz Khas, South Delhi",₹ 1500,"Chinese,European,North Indian,Pan Asian,Asian,Continental",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670668%2Frestaurant320210823041615.jpg,https://www.eazydiner.com/delhi-ncr/7-old-town-aurobindo-marg-south-delhi-670668?deal_types[]=postpaid
Mist,"The Park, New Delhi",₹ 2100,Casual Eclectic,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111071%2Frestaurant020191211070428.jpg,https://www.eazydiner.com/delhi-ncr/mist-the-park-connaught-place-cp-111071?deal_types[]=postpaid
Sagar Ratna,"Omega II, Noida",₹ 600,South Indian,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674442%2Frestaurant020211013064528.jpeg,https://www.eazydiner.com/delhi-ncr/sagar-ratna-omega-ii-noida-674442?deal_types[]=postpaid
Desi Vibes,"Sector 18, Noida",₹ 1300,"Mughlai,North Indian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110092%2Frestaurant020170626101659.jpg,https://www.eazydiner.com/delhi-ncr/desi-vibes-sector-18-noida-110092?deal_types[]=postpaid
Cafe Delhi Heights,"Cross Point Mall, Gurgaon",₹ 1000,Casual Eclectic,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/group%2F2%2F3097_01-01.jpg,https://www.eazydiner.com/delhi-ncr/cafe-delhi-heights-dlf-phase-4-110136?deal_types[]=postpaid
Lazeez Affaire,"Connaught Place (CP), Central Delhi",₹ 1600,"Biryani,Finger Food,Mughlai,North Indian",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648245%2Frestaurant420170906144222.jpg,https://www.eazydiner.com/delhi-ncr/lazeez-affaire-connaught-place-cp-central-delhi-648245?deal_types[]=postpaid
Asia Alive,"Double Tree by Hilton, Gurgaon",₹ 2300,Pan Asian,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111022%2Frestaurant120170303113612.jpg,https://www.eazydiner.com/delhi-ncr/asia-alive-double-tree-by-hilton-sector-56-111022?deal_types[]=postpaid
Café NH8,Radisson Gurugram Udyog Vihar,₹ 1600,All Day Dining,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112879%2Frestaurant120171208045335.jpg,https://www.eazydiner.com/delhi-ncr/cafe-nh8-radisson-gurugram-udyog-vihar-112879?deal_types[]=postpaid
Wok In The Clouds,"Rajouri Garden, West Delhi",₹ 2000,"Beverages,Chinese,Italian,North Indian,Thai,Multicuisine,Continental",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110305%2Frestaurant220170904113230.jpg,https://www.eazydiner.com/delhi-ncr/wok-in-the-clouds-rajouri-garden-110305?deal_types[]=postpaid
The Reader's Cafe,"Indirapuram, Ghaziabad",₹ 1000,Multicuisine,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F658323%2Frestaurant020220323095105.jpeg,https://www.eazydiner.com/delhi-ncr/the-readers-cafe-indirapuram-ghaziabad-658323?deal_types[]=postpaid
MKT,The Chanakya,₹ 2000,"European,Finger Food,Italian,Mexican,North Indian,Pizza,Seafood,Multicuisine,Asian",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653491%2Frestaurant120191211093606.jpg,https://www.eazydiner.com/delhi-ncr/mkt-the-chanakya-653491?deal_types[]=postpaid
NYC,"Radisson Blu Plaza Delhi Airport, Mahipalpur",₹ 3000,"Finger Food,Italian,North Indian,Multicuisine,Continental",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110982%2F0-01.jpg,https://www.eazydiner.com/delhi-ncr/new-york-cafe-radisson-blu-plaza-delhi-mahipalpur-delhi-110982?deal_types[]=postpaid
SXVIII,"Radisson Blu MBD, Noida",₹ 3500,All Day Dining,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110448%2Frestaurant020220108051615.jpg,https://www.eazydiner.com/delhi-ncr/s-18-radisson-blu-sector-18-noida-110448?deal_types[]=postpaid
Cafe After Hours,"Dwarka, West Delhi",₹ 900,"Beverages,Cafe,Chinese,North Indian,Thai,Continental",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F644070%2Frestaurant920180821124134.jpg,https://www.eazydiner.com/delhi-ncr/cafe-after-hours-dwarka-west-delhi-644070?deal_types[]=postpaid
The Eatery,Four Points by Sheraton,₹ 2200,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F613881%2Frestaurant020160606160008.jpg,https://www.eazydiner.com/delhi-ncr/the-eatery-four-points-by-sheraton-613881?deal_types[]=postpaid
Biryani By Kilo,"Connaught Place (CP), Central Delhi",₹ 700,Biryani,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672093%2Frestaurant020201211090416.png,https://www.eazydiner.com/delhi-ncr/biryani-by-kilo-connaught-place-cp-central-delhi-672093?deal_types[]=postpaid
The Chatter House,"Khan Market, Central Delhi",₹ 1800,"Cocktail Menu,Multicuisine",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F612528%2Frestaurant020190427073035.jpg,https://www.eazydiner.com/delhi-ncr/the-chatter-house-khan-market-central-delhi-612528?deal_types[]=postpaid
The Culinary Court,"Park Ascent, Noida",₹ 2000,North Indian,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111210%2Frestaurant220170926111241.jpg,https://www.eazydiner.com/delhi-ncr/the-culinary-court-park-ascent-sector-62-111210?deal_types[]=postpaid
Panchgaon,"Manesar, Gurgaon",₹ 600,"Chinese,Indian,South Indian,Street Food,Continental",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682783%2Frestaurant020220225054155.jpeg,https://www.eazydiner.com/delhi-ncr/pachgaon-manesar-gurgaon-682783?deal_types[]=postpaid
Aqua,"The Park, New Delhi",₹ 3200,Mediterranean,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110011%2Faqa%2B1-01.jpg,https://www.eazydiner.com/delhi-ncr/aqua-the-park-connaught-place-cp-110011?deal_types[]=postpaid
Rooftop - The View,"Radisson Blu Kaushambi Delhi NCR, Ghaziabad",₹ 2000,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F682538%2Frestaurant020220131103851.jpg,https://www.eazydiner.com/delhi-ncr/rooftop-the-view-radisson-blu-kaushambi-delhi-ncr-ghaziabad-682538?deal_types[]=postpaid
