restaurant_name,restaurant_location,cost_for_2,cusisine,rating,restaurant_img,restaurant_page
DEL,"Roseate House, New Delhi",3000,"Desserts,European,Finger Food,Indian,Italian,North Indian,Pan Asian,Continental",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643862%2Frestaurant020170329121936.jpg,https://www.eazydiner.com//delhi-ncr/del-roseate-house-igi-airport-643862?deal_types[]=postpaid
Connaught Clubhouse,"Connaught Place (CP), Central Delhi",2000,"Beverages,Finger Food,Italian,Mexican,Multicuisine,Pan Asian,Asian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670761%2Frestaurant120200229102045.jpg,https://www.eazydiner.com//delhi-ncr/connaught-clubhouse-janpath-central-delhi-670761?deal_types[]=postpaid
Latest Recipe,"Le Meridien, Gurgaon",2500,"Beverages,Desserts,European,Finger Food,Italian,Mediterranean,North Indian,Multicuisine,Asian,Salad",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111098%2Frestaurant020171009070206.jpg,https://www.eazydiner.com//delhi-ncr/latest-recipe-le-meridien-mg-road-111098?deal_types[]=postpaid
Whisky Samba,"Two Horizon Center, Golf Course Road",2500,"Chinese,Desserts,Finger Food,Indian,Japanese,Seafood,Sushi,Thai,Multicuisine,Pan Asian,Asian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643415%2Frestaurant320190110084930.jpg,https://www.eazydiner.com//delhi-ncr/whisky-samba-golf-course-road-gurgaon-643415?deal_types[]=postpaid
The Dineroom,"Punjabi Bagh, West Delhi",1200,"Beverages,Chinese,Desserts,North Indian,Multicuisine,Continental",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670323%2Frestaurant020201001095453.jpg,https://www.eazydiner.com//delhi-ncr/the-dineroom-punjabi-bagh-west-delhi-670323?deal_types[]=postpaid
The Barbeque Company,"Sector 29, Gurgaon",1500,"Beverages,Chinese,Mughlai,North Indian,Multicuisine,Barbeque",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F655986%2Frestaurant220180706113255.jpg,https://www.eazydiner.com//delhi-ncr/the-barbeque-company-sector-29-gurgaon-655986?deal_types[]=postpaid
Soy X Neung Roi,"Radisson Blu Plaza Delhi Airport, Mahipalpur",3000,"Thai,Pan Asian",4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110877%2Frestaurant120210820064251.jpg,https://www.eazydiner.com//delhi-ncr/neung-roi-radisson-blu-plaza-delhi-mahipalpur-delhi-110877?deal_types[]=postpaid
Barbeque Nation,"Connaught Place (CP), Central Delhi",1500,"Multicuisine,Barbeque",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110004%2Frestaurant020210107094136.jpg,https://www.eazydiner.com//delhi-ncr/barbeque-nation-connaught-place-110004?deal_types[]=postpaid
La Roca,Worldmark 1,2400,"European,Turkish,Modern Indian,Pan Asian",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F662729%2Frestaurant520201124094244.png,https://www.eazydiner.com//delhi-ncr/la-roca-worldmark-1-662729?deal_types[]=postpaid
Viet Nom,"Cyber Hub, Gurgaon",1500,"Beverages,Finger Food,Vietnamese,Pan Asian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F663251%2Frestaurant420190525125847.jpg,https://www.eazydiner.com//delhi-ncr/vietnom-cyber-hub-gurgaon-663251?deal_types[]=postpaid
Made In Punjab,"Cyber Hub, Gurgaon",1500,"Biryani,North Indian",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110106%2Frestaurant120160321122159.jpg,https://www.eazydiner.com//delhi-ncr/made-in-punjab-dlf-cyber-city-110106?deal_types[]=postpaid
Farmers Basket At Pluck,Pullman New Delhi Aerocity-An AccorHotels Brand,3000,"Chinese,European,Finger Food,North Indian,Modern Indian",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F600089%2Frestaurant120190329071930.jpg,https://www.eazydiner.com//delhi-ncr/pluck-pullman-new-delhi-aerocity-an-accorhotels-brand-igi-airport-600089?deal_types[]=postpaid
TEO - Lounge & Bar,"Punjabi Bagh, West Delhi",1200,"Beverages,Chinese,Finger Food,Italian,Mughlai,North Indian,Pizza,Multicuisine",4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670327%2Frestaurant420210212111747.jpg,https://www.eazydiner.com//delhi-ncr/teo-lounge-bar-punjabi-bagh-west-delhi-670327?deal_types[]=postpaid
WITC - Wok In The Clouds,"Connaught Place (CP), Central Delhi",2000,"Chinese,Indian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F668405%2Frestaurant320190812072511.jpg,https://www.eazydiner.com//delhi-ncr/witc-wok-in-the-clouds-connaught-place-cp-central-delhi-668405?deal_types[]=postpaid
Clock Tower,"Golf Course Road, Gurgaon",2700,"Beverages,Finger Food,Italian,North Indian,Multicuisine,Asian,Continental",4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F640404%2Frestaurant220190604102547.jpg,https://www.eazydiner.com//delhi-ncr/the-clock-tower-golf-course-road-gurgaon-640404?deal_types[]=postpaid
United Coffee House Rewind,"Epicuria Mall, Nehru Place",1000,"European,Mediterranean,North Indian",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F656324%2Frestaurant020180811111323.jpg,https://www.eazydiner.com//delhi-ncr/united-coffee-house-rewind-epicuria-mall-nehru-place-656324?deal_types[]=postpaid
AnnaMaya,"Andaz Delhi, Aerocity",3000,"European,Indian,Multicuisine,Asian,Continental,Cantonese",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643599%2Frestaurant020170915131848.jpg,https://www.eazydiner.com//delhi-ncr/annamaya-andaz-delhi-aerocity-igi-airport-643599?deal_types[]=postpaid
Kheer,"Roseate House, New Delhi",6000,"Beverages,Finger Food,North Indian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648339%2Frestaurant120171004124859.jpg,https://www.eazydiner.com//delhi-ncr/kheer-roseate-house-new-delhi-648339?deal_types[]=postpaid
Underdoggs,Worldmark 2,2000,"Finger Food,Mexican,North Indian,Pizza,Multicuisine,Asian,Continental",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F657511%2Frestaurant220190307112322.jpeg,https://www.eazydiner.com//delhi-ncr/underdoggs-the-walk-worldmark-delhi-657511?deal_types[]=postpaid
The House Of Celeste,"32nd Milestone, Gurgaon",1600,Modern Indian,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F669949%2Frestaurant320201106070506.jpeg,https://www.eazydiner.com//delhi-ncr/the-house-of-celeste-32nd-milestone-gurgaon-669949?deal_types[]=postpaid
Ikk Panjab,"Rajouri Garden, West Delhi",1000,North Indian,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653294%2Frestaurant020180410064318.jpg,https://www.eazydiner.com//delhi-ncr/ikk-panjab-rajouri-garden-west-delhi-653294?deal_types[]=postpaid
NYC,"Radisson Blu Plaza Delhi Airport, Mahipalpur",3000,"Finger Food,Italian,North Indian,Multicuisine,Continental",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110982%2F0-01.jpg,https://www.eazydiner.com//delhi-ncr/new-york-cafe-radisson-blu-plaza-delhi-mahipalpur-delhi-110982?deal_types[]=postpaid
Molecule Air Bar,"Green Park, South Delhi",1800,"Beverages,Fast Food,Finger Food,North Indian,Pizza,Multicuisine,Asian",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670182%2Frestaurant020200103111116.jpg,https://www.eazydiner.com//delhi-ncr/molecule-air-bar-green-park-south-delhi-670182?deal_types[]=postpaid
Sanadige – Fine Dine Restaurant,"Chanakyapuri, Central Delhi",2000,"Finger Food,Kerala,North Indian,Seafood,South Indian,Multicuisine",4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F604750%2Frestaurant020160321195242.jpg,https://www.eazydiner.com//delhi-ncr/sanadige-chanakyapuri-central-delhi-604750?deal_types[]=postpaid
Wok In The Clouds,"Khan Market, Central Delhi",2000,"Beverages,Chinese,North Indian,Thai,Multicuisine,Continental",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648241%2Frestaurant020170904121622.jpg,https://www.eazydiner.com//delhi-ncr/wok-in-the-clouds-khan-market-central-delhi-648241?deal_types[]=postpaid
The Barbeque Company,"Gardens Galleria Mall, Sector 38",1100,"Beverages,Desserts,Mughlai,North Indian,Barbeque",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672173%2Frestaurant020201203103236.jpg,https://www.eazydiner.com//delhi-ncr/the-barbeque-company-gardens-galleria-672173?deal_types[]=postpaid
Plum by Bent Chair,"Aerocity, South Delhi",1800,"Beverages,Chinese,Finger Food,Japanese,Sushi,Thai,Pan Asian,Asian",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F658290%2Frestaurant020190115103805.jpg,https://www.eazydiner.com//delhi-ncr/plum-by-bent-chair-aerocity-south-delhi-658290?deal_types[]=postpaid
Moti Mahal Delux,"South Extension 2, South Delhi",1400,"Chinese,Mughlai,North Indian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F119802%2Frestaurant520190219090553.jpeg,https://www.eazydiner.com//delhi-ncr/moti-mahal-delux-south-extension-2-119802?deal_types[]=postpaid
Olly- Olive's All Day Cafe & Bar,"Cyber Hub, Gurgaon",1400,"Cafe,European,Mediterranean,Pizza,Continental",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653266%2Frestaurant420200929102826.jpg,https://www.eazydiner.com//delhi-ncr/olly-olives-all-day-cafe-cyber-hub-gurgaon-653266?deal_types[]=postpaid
Ministry Of Beer,"Connaught Place (CP), Central Delhi",1500,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F644409%2Frestaurant020211217051456.jpg,https://www.eazydiner.com//delhi-ncr/ministry-of-beer-connaught-place-cp-central-delhi-644409?deal_types[]=postpaid
Out Of The Box,"Khan Market, Central Delhi",1500,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110358%2Frestaurant320180423130712.jpg,https://www.eazydiner.com//delhi-ncr/out-of-the-box-khan-market-110358?deal_types[]=postpaid
Bo Tai,"Mehrauli, South Delhi",3000,"Beverages,Finger Food,Japanese,Sushi,Thai,Fusion,Asian",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653344%2Frestaurant020190620135333.jpg,https://www.eazydiner.com//delhi-ncr/bo-tai-mehrauli-south-delhi-653344?deal_types[]=postpaid
The Creative Kitchen,"Radisson, Noida",2900,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648361%2Frestaurant020171011114125.jpg,https://www.eazydiner.com//delhi-ncr/the-creative-kitchen-radisson-noida-648361?deal_types[]=postpaid
On Kourse All Day Dining,"Karma Lakelands, Manesar",1000,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F668902%2Frestaurant020190906074818.jpeg,https://www.eazydiner.com//delhi-ncr/on-kourse-all-day-dining-karma-lakelands-manesar-668902?deal_types[]=postpaid
The Eatery,Four Points by Sheraton,2200,Multicuisine,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F613881%2Frestaurant020160606160008.jpg,https://www.eazydiner.com//delhi-ncr/the-eatery-four-points-by-sheraton-613881?deal_types[]=postpaid
Local,"Connaught Place (CP), Central Delhi",1200,"Finger Food,Italian,Mughlai,North Indian,Pizza,Street Food,Multicuisine,Continental",4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F644716%2Frestaurant020170803073843.jpg,https://www.eazydiner.com//delhi-ncr/local-connaught-place-cp-central-delhi-644716?deal_types[]=postpaid
Ophelia,"The Ashok, New Delhi",2000,"European,Finger Food,Italian,Mediterranean,Pizza,Turkish",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F671931%2Frestaurant020201007080311.jpg,https://www.eazydiner.com//delhi-ncr/ophelia-the-ashok-new-delhi-671931?deal_types[]=postpaid
