restaurant_name,restaurant_location,cost_for_2,cusisine,rating,restaurant_img,restaurant_page
Warehouse Cafe,"Sector 29, Gurgaon",1600,Cocktail Menu,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121542%2Frestaurant020151221175246.jpg,https://www.eazydiner.com//delhi-ncr/warehouse-cafe-sector-29-gurgaon-121542?deal_types[]=postpaid
Farzi Cafe,"Cyber Hub, Gurgaon",1800,Modern Indian,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110037%2FRestaurant_Main%2BPhoto-01.jpg,https://www.eazydiner.com//delhi-ncr/farzi-cafe-dlf-cyber-city-110037?deal_types[]=postpaid
Ziu Bā,"Ardee Mall, Ardee City",1100,"Chinese,Japanese,Sushi,Thai,Pan Asian",4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672132%2Frestaurant020201118114857.jpg,https://www.eazydiner.com//delhi-ncr/ziu-ba-ardee-mall-ardee-city-672132?deal_types[]=postpaid
The Drunken Botanist,"DLF Cyber City, Gurgaon",1500,"Chinese,European,Finger Food,Italian,North Indian,Pizza,Continental",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653381%2Frestaurant020180511132249.jpg,https://www.eazydiner.com//delhi-ncr/the-drunken-botanist-dlf-cyber-city-gurgaon-653381?deal_types[]=postpaid
Lazeez Affaire,"Connaught Place (CP), Central Delhi",1600,"Biryani,Finger Food,Mughlai,North Indian",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648245%2Frestaurant420170906144222.jpg,https://www.eazydiner.com//delhi-ncr/lazeez-affaire-connaught-place-cp-central-delhi-648245?deal_types[]=postpaid
SodaBottleOpenerWala,"DLF Mall of India, Sector 18, Noida",1300,Parsi,4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F613682%2Frestaurant020171010103020.jpg,https://www.eazydiner.com//delhi-ncr/sodabottleopenerwala-sector-18-noida-613682?deal_types[]=postpaid
DRAMZ,"Mehrauli, South Delhi",3000,"European,Italian,North Indian,Cocktail Menu,Continental",4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111510%2Frestaurant220180307055336.jpg,https://www.eazydiner.com//delhi-ncr/dramz-whiskey-bar-lounge-mehrauli-111510?deal_types[]=postpaid
The Imperial Spice,"Connaught Place (CP), Central Delhi",2000,"European,Indian,North Indian,Multicuisine",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F656222%2Frestaurant420180802050846.jpg,https://www.eazydiner.com//delhi-ncr/the-imperial-spice-connaught-place-cp-central-delhi-656222?deal_types[]=postpaid
Cafe G,"Crowne Plaza, Gurgaon",2300,All Day Dining,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111731%2Frestaurant020171010093600.jpg,https://www.eazydiner.com//delhi-ncr/cafe-g-sector-29-111731?deal_types[]=postpaid
Dasaprakash,"Sector 104, Noida",700,"Chinese,Desserts,North Indian,South Indian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F669735%2Frestaurant020191119125907.jpg,https://www.eazydiner.com//delhi-ncr/dasaprakash-sector-104-noida-669735?deal_types[]=postpaid
QBA,"Connaught Place (CP), Central Delhi",1500,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110031%2Frestaurant220210702075038.jpg,https://www.eazydiner.com//delhi-ncr/qba-connaught-place-110031?deal_types[]=postpaid
Station Bar,"Connaught Place (CP), Central Delhi",1700,"European,Mediterranean,North Indian,Pan Asian",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F658156%2Frestaurant120181217110836.jpg,https://www.eazydiner.com//delhi-ncr/station-bar-connaught-place-cp-central-delhi-658156?deal_types[]=postpaid
The Wine Company,"Cyber Hub, Gurgaon",1900,Casual Eclectic,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110050%2Frestaurant020160304092606.jpg,https://www.eazydiner.com//delhi-ncr/the-wine-company-dlf-cyber-city-110050?deal_types[]=postpaid
Green House - The Beer Garden,"Eros City Square Mall, Gurgaon",2000,Finger Food,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F661786%2Frestaurant020190131124913.jpg,https://www.eazydiner.com//delhi-ncr/green-house-the-beer-garden-eros-city-square-mall-gurgaon-661786?deal_types[]=postpaid
The Culinary Court,"Park Ascent, Noida",2000,North Indian,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111210%2Frestaurant220170926111241.jpg,https://www.eazydiner.com//delhi-ncr/the-culinary-court-park-ascent-sector-62-111210?deal_types[]=postpaid
FIO Cookhouse and Bar,"Nehru Place, South Delhi",2700,"Salad,European,Finger Food,Healthy Food,Italian,Pizza",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110315%2Frestaurant220190227065630.jpg,https://www.eazydiner.com//delhi-ncr/fio-cookhouse-and-bar-nehru-place-110315?deal_types[]=postpaid
Liv Bar,Worldmark 1,1400,"Beverages,European,Italian,Continental",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F658205%2Frestaurant020181222085602.jpg,https://www.eazydiner.com//delhi-ncr/liv-bar-worldmark-1-658205?deal_types[]=postpaid
Laidback Cafe,"Greater Kailash (GK) 2, South Delhi",2000,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648278%2Frestaurant220210114082357.jpg,https://www.eazydiner.com//delhi-ncr/the-laidback-cafe-greater-kailash-gk-1-south-delhi-648278?deal_types[]=postpaid
CAD Techbar & Craftkitchen,"32nd Milestone, Gurgaon",1800,Modern Indian,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F661780%2Frestaurant020190131093931.jpg,https://www.eazydiner.com//delhi-ncr/cad-techbar-craftkitchen-32nd-milestone-gurgaon-661780?deal_types[]=postpaid
Fifty9,"Radisson Blu Marina, New Delhi",2500,Multicuisine,4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111309%2Frestaurant020190924075739.jpg,https://www.eazydiner.com//delhi-ncr/fifty9-radisson-blu-marina-connaught-place-cp-111309?deal_types[]=postpaid
The Barbeque Company,"Karkardooma, East Delhi",1200,"Multicuisine,Barbeque",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F637774%2Frestaurant420170722113309.jpg,https://www.eazydiner.com//delhi-ncr/the-barbeque-company-karkardooma-east-delhi-637774?deal_types[]=postpaid
Downtown Kitchen & Bar,"Courtyard By Marriott, Gurgaon",2700,Multicuisine,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F643534%2Frestaurant620201208094023.jpg,https://www.eazydiner.com//delhi-ncr/downtown-kitchen-bar-courtyard-by-marriott-sushant-lok-643534?deal_types[]=postpaid
Bagundi,"Connaught Place (CP), Central Delhi",800,Multicuisine,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F657256%2Frestaurant520180918055632.jpg,https://www.eazydiner.com//delhi-ncr/bagundi-connaught-place-cp-central-delhi-657256?deal_types[]=postpaid
The Flying Dutchman,"Indirapuram, Ghaziabad",800,"Chinese,Finger Food,Italian,North Indian,Pizza,Multicuisine,Continental",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F653495%2Frestaurant020180517134459.jpg,https://www.eazydiner.com//delhi-ncr/the-flying-dutchman-indirapuram-ghaziabad-653495?deal_types[]=postpaid
One8 Commune,Worldmark 2,2000,"Beverages,Finger Food,North Indian,Multicuisine,Asian,Continental",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F666334%2Frestaurant420190802133154.jpg,https://www.eazydiner.com//delhi-ncr/one8-commune-worldmark-2-666334
Biryani By Kilo,"Connaught Place (CP), Central Delhi",700,Biryani,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672093%2Frestaurant020201211090416.png,https://www.eazydiner.com//delhi-ncr/biryani-by-kilo-connaught-place-cp-central-delhi-672093?deal_types[]=postpaid
Brewocrat - Brewery Skybar & Kitchen,"South City 2, Gurgaon",2000,Multicuisine,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F662828%2Frestaurant1120191108125322.jpg,https://www.eazydiner.com//delhi-ncr/brewocrat-brewery-skybar-kitchen-south-city-2-gurgaon-662828?deal_types[]=postpaid
World of Shalom,"R K Puram, South Delhi",2000,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F669615%2Frestaurant020210114082023.jpg,https://www.eazydiner.com//delhi-ncr/laidback-cafe-r-k-puram-south-delhi-669615?deal_types[]=postpaid
Kwality,"Connaught Place (CP), Central Delhi",1500,"Beverages,Desserts,Fast Food,Finger Food,Mughlai,North Indian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111268%2Frestaurant320201209110800.jpg,https://www.eazydiner.com//delhi-ncr/kwality-connaught-place-111268?deal_types[]=postpaid
Seasonal Tastes,"The Westin, Gurgaon",4500,"Desserts,Finger Food,Japanese,North Indian,Sushi,Thai,Multicuisine,Asian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110544%2Frestaurant120191213055430.jpg,https://www.eazydiner.com//delhi-ncr/seasonal-tastes-the-westin-sector-29-110544?deal_types[]=postpaid
Curry House CoCo Ichibanya,"DLF Cyber City, Gurgaon",1000,"Japanese,Pan Asian",4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F671892%2Frestaurant120210122083328.jpg,https://www.eazydiner.com//delhi-ncr/curry-house-coco-ichibanya-dlf-cyber-city-gurgaon-671892?deal_types[]=postpaid
Deck Of Spices,"Kirti Nagar, West Delhi",1100,Multicuisine,4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F657678%2Frestaurant1020181112064030.jpg,https://www.eazydiner.com//delhi-ncr/deck-of-spices-kirti-nagar-west-delhi-657678?deal_types[]=postpaid
Local,"Sector 29, Gurgaon",1500,Multicuisine,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F669489%2Frestaurant020191026110357.jpg,https://www.eazydiner.com//delhi-ncr/local-sector-29-gurgaon-669489?deal_types[]=postpaid
Openhouse Cafe,"Connaught Place (CP), Central Delhi",2000,"Biryani,Chinese,Fast Food,Italian,North Indian,Multicuisine",4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121323%2Frestaurant020220316052340.jpg,https://www.eazydiner.com//delhi-ncr/open-house-connaught-place-cp-new-delhi-121323?deal_types[]=postpaid
Ziu,"R K Puram, South Delhi",1500,Thai,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121505%2Frestaurant020160512150443.jpg,https://www.eazydiner.com//delhi-ncr/ziu-r-k-puram-new-delhi-121505?deal_types[]=postpaid
The Piano Man Jazz Club,"Safdarjung, South Delhi",1800,Casual Eclectic,4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121411%2Frestaurant620180817060138.jpg,https://www.eazydiner.com//delhi-ncr/the-piano-man-jazz-club-safdarjung-121411?deal_types[]=postpaid
Chapter Twelve,"Sector 12, Faridabad",1500,Multicuisine,4.4,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F663475%2Frestaurant520190611082109.jpg,https://www.eazydiner.com//delhi-ncr/chapter-twelve-sector-12-faridabad-663475?deal_types[]=postpaid
The Great Kabab Factory,"Radisson Blu Plaza Delhi Airport, Mahipalpur",3500,"Biryani,Mughlai,North Indian,Kababs",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110178%2F0-01.jpg,https://www.eazydiner.com//delhi-ncr/the-great-kabab-factory-radisson-blu-plaza-delhi-mahipalpur-delhi-110178?deal_types[]=postpaid
Unplugged Courtyard,"Connaught Place (CP), Central Delhi",1700,"European,Finger Food,Italian,North Indian,Pan Asian,Momos,Continental",4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121540%2Frestaurant020190821080044.png,https://www.eazydiner.com//delhi-ncr/unplugged-courtyard-connaught-place-new-delhi-121540?deal_types[]=postpaid
The Piano Man,"32nd Milestone, Gurgaon",2500,"Beverages,European,Finger Food,Italian,Mexican,Asian",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F670560%2Frestaurant320200213130045.jpg,https://www.eazydiner.com//delhi-ncr/the-piano-man-32nd-milestone-gurgaon-670560?deal_types[]=postpaid
Cafe High5,"Connaught Place (CP), Central Delhi",1200,Multicuisine,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F669646%2Frestaurant420191115064335.jpg,https://www.eazydiner.com//delhi-ncr/mkob-my-kind-of-bar-connaught-place-cp-central-delhi-669646?deal_types[]=postpaid
Gola Sizzlers,"Connaught Place (CP), Central Delhi",1500,"Beverages,Chinese,Fast Food,Finger Food,Italian,Mughlai,North Indian,Multicuisine",4.3,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110349%2Frestaurant420170916094608.jpg,https://www.eazydiner.com//delhi-ncr/gola-sizzlers-connaught-place-110349?deal_types[]=postpaid
MAD Restaurant,"Rajouri Garden, West Delhi",700,"European,North Indian,Spanish,Asian",4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672210%2Frestaurant020201216113309.jpg,https://www.eazydiner.com//delhi-ncr/mad-restaurant-rajouri-garden-west-delhi-672210?deal_types[]=postpaid
Kinbuck 2 Cafe & Bar,"Connaught Place (CP), Central Delhi",1200,"Chinese,Italian,Lebanese,Mexican,North Indian",4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F121200%2Frestaurant020191116061504.jpg,https://www.eazydiner.com//delhi-ncr/kinbuck-2-connaught-place-121200?deal_types[]=postpaid
Kitchen District,"Hyatt Regency, Gurgaon",2400,All Day Dining,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F116086%2Frestaurant020190527104934.jpg,https://www.eazydiner.com//delhi-ncr/kitchen-district-hyatt-regency-sector-83-116086?deal_types[]=postpaid
Filmy Bar & Cafe,"Paharganj, Central Delhi",1200,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683515%2Frestaurant020220511105308.jpeg,https://www.eazydiner.com//delhi-ncr/filmy-bar-cafe-paharganj-central-delhi-683515?deal_types[]=postpaid
